"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A category that still contains items must not be deletable — the owner-facing menu editor hides the category 'Delete' button until the category is empty, preventing accidental bulk-deletion of its items. (Runs after TC-21, which leaves an item in the category.)","3199","TC-67: owner cannot delete a category that has items","dashboard","2026-07-19","passed","2026-07-19","Owner — Menu Management > Category and item CRUD","","",""
"POST /api/coupons/restaurant/:id without the required `code` field is rejected with a 4xx status.","196","TC-66: creating a coupon with no code is rejected","dashboard","2026-07-19","passed","2026-07-19","API — Negative cases","","",""
"","0","TC-183: every day defaults to Closed, and Open/24 Hours toggle the time pickers correctly","dashboard","2026-07-19","skipped","2026-07-19","Employee — Business Hours","","",""
"","44","TC-77: toggling status of a nonexistent user id is rejected","dashboard","2026-07-19","passed","2026-07-19","Admin — User Management > Settings tab — negative","","",""
"","2501","TC-56: owner can reach menu management","dashboard","2026-07-19","passed","2026-07-19","Access — Restaurant management (shared screens)","","",""
"Pre-authenticated owner navigates to /restaurant/stores and verifies the page heading.","2568","TC-13: owner can reach /restaurant/stores and see the My Restaurants heading","dashboard","2026-07-19","passed","2026-07-19","Owner — My Restaurants List","","",""
"Clicking Orders in the portal sidebar loads the orders tab with a search bar and table column headers.","2789","TC-29: owner can navigate to the Orders tab and see the orders search bar","dashboard","2026-07-19","passed","2026-07-19","Owner — Orders Tab","","",""
"","1","TC-92: owner can edit an existing coupon's discount value","dashboard","2026-07-19","skipped","2026-07-19","Owner — Coupons","","",""
"Expanding the Coupons accordion and clicking Create Coupon loads the coupon form.","2736","TC-30: owner can navigate to the Create Coupon form","dashboard","2026-07-19","passed","2026-07-19","Owner — Coupons","","",""
"Searching for a code that doesn't exist shows the 'No coupons found' empty state.","3974","TC-155: Manage Coupons search with no matches shows the empty state","dashboard","2026-07-19","passed","2026-07-19","Owner — Coupons","","",""
"POST /menu/item/new without a name field is rejected with a 4xx status, bypassing the UI.","305","TC-65: creating a menu item with no name is rejected","dashboard","2026-07-19","passed","2026-07-19","API — Negative cases","","",""
"Owner clicks 'Add [Category] Item', completes the 4-step wizard, and verifies the item appears on the menu page.","8168","TC-21: owner can add a menu item to a category","dashboard","2026-07-19","passed","2026-07-19","Owner — Menu Management > Category and item CRUD","","",""
"","1","TC-18: employee can set a tax rate and save — change persists","dashboard","2026-07-19","skipped","2026-07-19","Employee — Tax Settings","","",""
"Opening Edit on a coupon loads its current code/value into the form (read-only check — does not submit, since editing currently 500s server-side per TC-92).","5969","TC-162: Edit pre-fills the form with the coupon's existing values","dashboard","2026-07-19","passed","2026-07-19","Owner — Coupons","","",""
"Selecting the 'Last 7 days' preset and applying it re-fetches the dashboard for the new window: the request fires, the picker closes, and the page resolves again with no load error.","4720","TC-129: changing the range to Last 7 days reloads the dashboard","dashboard","2026-07-19","passed","2026-07-19","Owner — Analytics Tab","","",""
"","1","TC-02: receive confirmation email after demo request submission","dashboard","2026-07-19","skipped","2026-07-19","Demo Request — Public Form","","",""
"","3753","TC-103: submit is disabled until a role is selected","dashboard","2026-07-19","passed","2026-07-19","Admin — User Management > Invite dialog","","",""
