"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filling in a Stripe DECLINED test card and clicking Complete Order shows a Payment Error on the checkout page instead of reaching Order Confirmed.","6939","TC-64: a declined card shows a payment error and does not place the order","customer","2026-09-05","passed","2026-09-05","Customer — Order Placement","","",""
"Single-select groups render real radio inputs sharing one name: choosing a second option deselects the first.","1618","TC-190: a maxSelections=1 group behaves as a radio — picking B replaces A","customer","2026-09-05","passed","2026-09-05","Customer — Item Modifiers","","",""
"A gift card whose balance has been adjusted down to $0 (admin) is rejected at checkout with a 'no remaining balance' error.","471","TC-174: a depleted gift card is rejected","customer","2026-09-05","failed","2026-09-05","Customer — Checkout gift card","","",""
"The margin guardrail: a FREE_DELIVERY coupon carries a minimum order. Applying it to a cart below that minimum is rejected with the 'Order must be at least $X' message — the waiver never applies to a tiny order.","2542","TC-217: a free-delivery code below its minimum order is rejected","customer","2026-09-05","passed","2026-09-05","Customer — Free-delivery coupon","","",""
"The frontend doesn't gate gift-card redemption on whether a coupon is already applied (or vice versa) — both discounts show simultaneously. This documents currently-supported behavior; it does not touch the separate canCombineWithCoupons config flag, which isn't enforced by either side today (see TEST_COVERAGE.md's Known Technical Debt).","539","TC-176: a coupon and a gift card can both be applied to the same order","customer","2026-09-05","failed","2026-09-05","Customer — Checkout gift card","","",""
"A gift card frozen by an admin is rejected at checkout with a 'frozen' error.","448","TC-175: a frozen gift card is rejected","customer","2026-09-05","failed","2026-09-05","Customer — Checkout gift card","","",""
"Storefront /menu renders the DealCard for the API-seeded combo (name, 'Save 21%', 'Includes:' one '1x' chip per slot row, struck $26.50 / $21.00, 'View Deal' → /deals/<id>). The owner flips the row's switch OFF in ?tab=deals → the storefront no longer offers it (public /active hides INACTIVE); ON → back.","6905","TC-367: 'Today's Deals' on /menu offers the owner's deal; toggling it OFF in Manage Deals removes it, ON brings it back","customer","2026-09-05","passed","2026-09-05","Deals → Storefront hand-off","","",""
"A card minted for the printer but never loaded at a register has status INACTIVE and a zero balance. Applying its code at checkout shows the rejection and applies nothing — the opposite of TC-171's funded card.","16993","TC-477: an unloaded (INACTIVE) physical card is refused at checkout","customer","2026-09-05","failed","2026-09-05","Customer — Checkout physical gift card stock","","",""
"The customer coupon-redemption path (previously untested): applying the seeded percentage coupon at checkout shows the discount in the order summary; a bogus code is rejected with an error and no discount.","3738","TC-125: a valid coupon applied at checkout shows the discount, an invalid one is rejected","customer","2026-09-05","passed","2026-09-05","Customer — Checkout coupon & delivery","","",""
"Selecting an allowsDuplicates modifier reveals its Qty stepper; bumping quantity to 2 doubles that modifier's contribution ($10.00 + 2 × $1.50 = $13.00).","1712","TC-194: an allowsDuplicates modifier's quantity stepper multiplies its price","customer","2026-09-05","passed","2026-09-05","Customer — Item Modifiers","","",""
"Applying a code that doesn't exist shows an error and no discount is applied.","17909","TC-173: an invalid gift card code is rejected","customer","2026-09-05","failed","2026-09-05","Customer — Checkout gift card","","",""
"Checking the balance of a code that doesn't exist shows 'Card not found or invalid code'.","17536","TC-170: balance check shows not-found for a nonexistent code","customer","2026-09-05","failed","2026-09-05","Customer — Gift Cards","","",""
"Typing a custom amount above the restaurant's configured maximum shows an inline error and does not advance to payment.","1799","TC-168: a custom amount above the maximum is rejected","customer","2026-09-05","passed","2026-09-05","Customer — Gift Cards","","",""
"Pizza + fries @ $15; the pizza slot is customised with 'Extra Cheese' (+$2.00, ADJUSTS_PRICE). Checkout shows 'Modifiers/Upgrades +$2.00', the expanded deal lists '1x <pizza> (+$2.00)', and the page's own /quote returns upcharge 2 / lineTotal 17 / subtotal 17 — the client's number is recomputed server-side.","4097","TC-369: a modifier chosen on a deal slot is charged as an upcharge on top of the deal price — in the summary and in the quote","customer","2026-09-05","passed","2026-09-05","Deals → Storefront hand-off","","",""
"","0","TC-169: balance check shows the correct balance for a freshly purchased card","customer","2026-09-05","skipped","2026-09-05","Customer — Gift Cards","","",""
"Owner sets Base price 14 for the shared item at location A via the $ dialog. Storefront ?restaurantId=A shows $14.00 on the card while ?restaurantId=B still shows $12.00; the public POST /api/order/:id/quote (what checkout charges) returns subtotal 14 at A and 12 at B — the 'shown $14, charged $12' defect class. (Fixture locations aren't published, so the storefront modal/cart is inert there; the charge is asserted on the quote endpoint checkout itself calls.) Override cleared afterwards.","4931","TC-321: a per-location price override is what the customer sees AND what the server quotes — at that location only","customer","2026-09-05","passed","2026-09-05","Menu → Storefront hand-off","","",""
"Cart is injected via sessionStorage; customer navigates to /checkout and sees the customer info form.","2429","TC-24: customer with pre-seeded cart can reach checkout and see the form","customer","2026-09-05","passed","2026-09-05","Customer — Checkout","","",""
"","2527","TC-495: a dual-priced restaurant's wind checkout shows the single card price — no cash wording, no fee line","customer","2026-09-05","passed","2026-09-05","Customer — Dual pricing stays off the online checkout","","",""
"Customer fills First Name, Last Name, Email, Phone, selects Pickup, and clicks Proceed to Payment. Stripe payment section appears.","4710","TC-25: customer can fill checkout form and proceed to payment step","customer","2026-09-05","passed","2026-09-05","Customer — Checkout","","",""
"","1","TC-165: guest purchases a gift card as a Send-as-Gift preset denomination","customer","2026-09-05","skipped","2026-09-05","Customer — Gift Cards","","",""
"Base $10.00 item + $1.50 ADJUSTS_PRICE add-on → the Add to Cart label's live price reads $11.50.","1614","TC-192: an ADJUSTS_PRICE modifier adds its price to the item total","customer","2026-09-05","passed","2026-09-05","Customer — Item Modifiers","","",""
"Select Delivery, resolve a fee quote, then apply the free-delivery code: the coupon applies and the order summary shows the delivery fee waived ('Free'). Skips cleanly when the restaurant is pickup-only, Google Places yields no suggestion, or delivery is not available at the address (external dependencies, mirroring TC-126).","14721","TC-215: on a delivery order the code waives the fee and shows Free","customer","2026-09-05","skipped","2026-09-05","Customer — Free-delivery coupon","","",""
"Customer clicks the seed menu item card, the item modal opens, and the Add to Cart button is visible.","3844","TC-23: customer can open the seed menu item modal and see Add to Cart button","customer","2026-09-05","passed","2026-09-05","Customer — Menu Browsing","","",""
"A customer landing on /checkout without anything in the cart gets the 'Your Cart is Empty' screen instead of the checkout form.","1577","TC-185: /checkout with an empty cart shows the empty-cart message","customer","2026-09-05","passed","2026-09-05","Customer — Checkout","","",""
"A card minted for the printer but never loaded at a register has status INACTIVE and a zero balance. Applying its code at checkout shows the rejection and applies nothing — the opposite of TC-171's funded card.","17491","TC-477: an unloaded (INACTIVE) physical card is refused at checkout","customer","2026-09-05","failed","2026-09-05","Customer — Checkout physical gift card stock","","",""
"Storefront shows the seeded item card with its price. Owner (Menu tab) switches it OFF → 'Mark sold out'. Reloading the storefront: the card is gone (template-wind filters outOfStock items out of the menu grid). Owner switches it back ON → card is back.","40875","TC-320: an item the owner marks sold out disappears from the storefront menu and comes back when restored","customer","2026-09-05","passed","2026-09-05","Menu → Storefront hand-off","","",""
"After applying a gift card, clicking Remove clears the 'Gift card applied' summary and returns to the code-entry state.","464","TC-172: removing an applied gift card clears the discount","customer","2026-09-05","failed","2026-09-05","Customer — Checkout gift card","","",""
"A minOrderAmount coupon applies while two cart lines clear the minimum; removing one line triggers CouponSection's debounced revalidation, the backend 400s ('Order must be at least $X'), and the coupon is auto-removed with an explanatory error.","4845","TC-187: a coupon is auto-removed when the cart drops below its minimum order amount","customer","2026-09-05","passed","2026-09-05","Customer — Checkout coupon revalidation","","",""
"Unauthenticated customer navigates to /menu?restaurantId=<id> and the page loads.","1204","TC-22: customer can reach the menu page for the seed restaurant @smoke","customer","2026-09-05","passed","2026-09-05","Customer — Menu Browsing","","",""
"With the deal auto-added but its slot unfilled, the checkout proceed button is disabled and labeled 'Complete Deals to Continue'.","2079","TC-196: an incomplete deal blocks checkout with 'Complete Deals to Continue'","customer","2026-09-05","passed","2026-09-05","Customer — Deals","","",""
"Full happy path: pre-seeded cart → fill form → Proceed to Payment → fill Stripe VISA test card → Complete Order → Order Confirmed page.","27179","TC-26: customer can complete a full order with Stripe test card and reach Order Confirmed","customer","2026-09-05","failed","2026-09-05","Customer — Order Placement","","",""
"The one true end-to-end cart path: open the item modal, click Add to Cart, open the cart via the floating View Cart button, and click through to /checkout. Every other checkout test seeds the cart via sessionStorage for speed — this test is the safety net that the real add-to-cart wiring (and the cart storage schema seedCart mimics) actually works.","5409","TC-99: customer can add an item to the cart and reach checkout through the real UI flow","customer","2026-09-05","passed","2026-09-05","Customer — Menu Browsing","","",""
"Typing a custom amount below the restaurant's configured minimum shows an inline error and does not advance to payment.","2614","TC-167: a custom amount below the minimum is rejected","customer","2026-09-05","passed","2026-09-05","Customer — Gift Cards","","",""
"","2608","TC-370: 86'ing a required slot item pulls the whole deal from the storefront; restoring it brings the deal back","customer","2026-09-05","passed","2026-09-05","Deals → Storefront hand-off","","",""
"Builds the combo, checks out as a pickup guest with the Stripe VISA test card → 'Order Confirmed!'. The order (owner GET /api/order/:id) carries orderDeals[0] {dealId, dealPrice 21, quantity 1} and 3 orderDealItems; on payment processDealStatistics increments Deal.timesUsed / totalRevenue → the /stats summary moves by +1 / +21, the Manage Deals row reads '1 times' + '$21.00', and Deal Analytics' Top Performing Deals lists it. Leaves one real paid order on QA (as TC-26 does).","17043","TC-371: paying for a deal order records the deal on the order and bumps the owner's usage counters (stats API, Manage Deals row, Deal Analytics)","customer","2026-09-05","passed","2026-09-05","Deals → Storefront hand-off","","",""
"A maxSelections=2 checkbox group: after two selections the third, unchecked option is disabled (and un-checking frees it again).","1560","TC-191: maxSelections caps a multi-select group — remaining options disable at the cap","customer","2026-09-05","passed","2026-09-05","Customer — Item Modifiers","","",""
"FREE_DELIVERY is delivery-only: applying the code while the order is Pickup sends serviceType to validate and the backend rejects it with a delivery-only message — no discount, no $0.00 'saving'.","1812","TC-214: a free-delivery code is rejected on a pickup order","customer","2026-09-05","passed","2026-09-05","Customer — Free-delivery coupon","","",""
"Quote-wiring coverage for delivery (not a full delivery order — that needs QA's delivery provider + a deliverable address): selecting Delivery and entering an address fires /api/delivery/quote and the UI resolves to either an available fee or a not-available message. Skips cleanly when the restaurant is pickup-only or Google Places yields no suggestion (external dependency).","12752","TC-126: selecting Delivery drives the address → quote round-trip","customer","2026-09-05","skipped","2026-09-05","Customer — Checkout coupon & delivery","","",""
"A minSelections=1 group with no default: the group shows its Required pill and Add to Cart stays disabled; picking an option enables it.","2039","TC-189: a required modifier group blocks Add to Cart until a selection is made","customer","2026-09-05","passed","2026-09-05","Customer — Item Modifiers","","",""
"REPLACES_PRICE size group on a $10.00 item: the default Small ($8.00) prices the item at $8.00; switching to Large reprices to $12.00 — the base price is replaced, not adjusted.","1655","TC-193: a REPLACES_PRICE modifier overrides the base price","customer","2026-09-05","passed","2026-09-05","Customer — Item Modifiers","","",""
"","1","TC-166: guest purchases a gift card with a custom amount","customer","2026-09-05","skipped","2026-09-05","Customer — Gift Cards","","",""
"MenuPage's landing-page deep link: /menu?restaurantId=<id>&item=<itemId> auto-opens the item modal (and scrolls to its group) once the menu loads — no card click needed.","1897","TC-184: the ?item= deep link auto-opens that item's modal","customer","2026-09-05","passed","2026-09-05","Customer — Menu Browsing","","",""
"","1","TC-177: a gift card that fully covers the order completes without a Stripe step","customer","2026-09-05","skipped","2026-09-05","Customer — Checkout gift card","","",""
