"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A gift card whose balance has been adjusted down to $0 (admin) is rejected at checkout with a 'no remaining balance' error.","2663","TC-174: a depleted gift card is rejected","customer","2026-07-20","passed","2026-07-20","Customer — Checkout gift card","","",""
"Submitting the create-coupon form with no code is blocked and no coupon is created. Note: like TC-147, the code TextField is a real required HTML input, so the browser's native constraint validation intercepts the submit before React's own validateForm()/'Coupon code is required' message ever gets a chance to run (confirmed live: no POST /api/coupons request is sent).","3252","TC-150: an empty coupon code is rejected","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"After Stripe redirects back to /stripe-onboarding-success the page shows either 'Stripe Account Successfully Connected!' or 'Stripe Account Setup In Progress', and the Restaurant Dashboard button is always present.","3022","TC-51: success callback page loads after Stripe redirect","dashboard","2026-07-20","passed","2026-07-20","Owner — Payment Settings (Stripe Setup) > Success callback page","","",""
"","4646","TC-112: USER detail shows the role-appropriate tabs","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Detail side sheet","","",""
"","5574","TC-110: status filter narrows the list","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > List, search & filter","","",""
"","1","TC-180: a user can view/set their POS PIN","dashboard","2026-07-20","skipped","2026-07-20","Staff — Portal","","",""
"From the restaurant management portal, navigating to the menu editor reveals the 'New Category' button.","4029","TC-19: owner can navigate to the Menu tab and see the category section","dashboard","2026-07-20","passed","2026-07-20","Owner — Menu Management","","",""
"Clicking the date-range button opens the picker popover exposing the Quick Select presets (Last 7 days / Last 30 days), so owners can change the reporting window.","2936","TC-128: the date-range picker opens with quick-select presets","dashboard","2026-07-20","passed","2026-07-20","Owner — Analytics Tab","","",""
"Selecting the 'Customer Groups' sub-tab renders the Customer Segments view with its segment cards (e.g. VIP) from GET /api/customers/restaurant/:id/segments.","3960","TC-138: owner can switch to the Customer Groups (segments) sub-tab","dashboard","2026-07-20","passed","2026-07-20","Owner — Customers Tab","","",""
"","3124","TC-59: valid credentials reach the dashboard","dashboard","2026-07-20","passed","2026-07-20","Public — Sign in","","",""
"","5367","TC-116: admin can deactivate then reactivate a user","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Settings tab","","",""
"Opening the Add Item wizard and blurring name/price with both left blank shows inline required-field errors and keeps the Next button disabled.","4258","TC-62: menu item wizard blocks Next when name and price are blank","dashboard","2026-07-20","passed","2026-07-20","Owner — Menu Management > Category and item CRUD","","",""
"Typing a custom amount below the restaurant's configured minimum shows an inline error and does not advance to payment.","2387","TC-167: a custom amount below the minimum is rejected","customer","2026-07-20","passed","2026-07-20","Customer — Gift Cards","","",""
"Typing in the customer search fires GET /api/customers/restaurant/:id with the search term — proving the directory filters against the backend rather than only client-side.","3780","TC-137: searching the customer directory re-queries the server","dashboard","2026-07-20","passed","2026-07-20","Owner — Customers Tab","","",""
"After applying a gift card, clicking Remove clears the 'Gift card applied' summary and returns to the code-entry state.","2477","TC-172: removing an applied gift card clears the discount","customer","2026-07-20","passed","2026-07-20","Customer — Checkout gift card","","",""
"","0","TC-17: employee can navigate to tax settings and see the tax rate form","dashboard","2026-07-20","skipped","2026-07-20","Employee — Tax Settings","","",""
