"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Admin navigates to Demo Management, searches by email, and verifies the row shows correct name, status NEW, and a creation timestamp.","3225","TC-04: admin can find the new demo request in Demo Management","dashboard","2026-07-19","passed","2026-07-19","Admin — Demo Management","","",""
"End user navigates to /demo, fills personal and business info, submits the form, and sees the success dialog.","3861","TC-01: submit demo request form and display success confirmation","dashboard","2026-07-19","passed","2026-07-19","Demo Request — Public Form","","",""
"","4704","TC-117: admin can send a password reset email","dashboard","2026-07-19","failed","2026-07-19","Admin — User Management > Settings tab","","",""
"","3492","TC-09: admin sees delete confirmation and can cancel","dashboard","2026-07-19","passed","2026-07-19","Admin — Demo Request Actions","","",""
"QA email is fully sandboxed (every send lands in the shared Mailpit inbox, never a real customer), so the enabled run-now path is exercised for real: cap the daily pace to 1, enable Win-Back, run it, and — when candidates exist — verify the send row flips SENT and the email arrives in Mailpit. State (enabled flag + caps) is restored afterwards.","756","TC-210: run-now on an enabled automation queues sends and delivers to the sandbox inbox","dashboard","2026-07-19","passed","2026-07-19","Admin — Marketing automations","","",""
"","4725","TC-101: admin can invite a new user","dashboard","2026-07-19","passed","2026-07-19","Admin — User Management > Invite dialog","","",""
"","3435","TC-06: admin can change demo status via inline dropdown","dashboard","2026-07-19","passed","2026-07-19","Admin — Demo Request Actions","","",""
"Filling the Notes field and clicking Save Changes PUTs /api/demo-requests/:id and the side sheet auto-closes on success (no toast). Reopening confirms the note persisted server-side.","5257","TC-07: admin can edit and save notes in the View/Edit Details side sheet","dashboard","2026-07-19","passed","2026-07-19","Admin — Demo Request Actions","","",""
"","8103","TC-123: invited user claims access, and sees their access level","dashboard","2026-07-19","passed","2026-07-19","Admin — User Management > Invite → claim → login journey","","",""
"","3434","TC-05: admin can open the action menu on a demo row","dashboard","2026-07-19","passed","2026-07-19","Admin — Demo Request Actions","","",""
"Searching the Assign autocomplete for the known ADMIN_EMAIL account, selecting it, and clicking Assign PUTs assignedToId — verified via the response body (the UI doesn't surface the assignee anywhere else).","7261","TC-10: admin can assign a demo request to a team member","dashboard","2026-07-19","passed","2026-07-19","Admin — Demo Request Actions","","",""
"Sending the pre-filled follow-up email flips demo status NEW -> CONTACTED and delivers a real email through the Mailpit sandbox (verified via waitForEmail, gated on MAILPIT_BASE_URL).","4611","TC-08: admin can send a follow-up email","dashboard","2026-07-19","passed","2026-07-19","Admin — Demo Request Actions","","",""
"Submitting the sign-up form with an email that already has an account shows an error banner and keeps the visitor on /sign-up.","6284","TC-94: registering with an already-used email is rejected","dashboard","2026-07-19","passed","2026-07-19","Public — Sign up","","",""
"Filling the sign-up form and submitting redirects off /sign-up to the dashboard home. A fresh self-serve account is role USER (with only VIEW_RESTAURANT) — it does not become OWNER until the account creates a restaurant.","5279","TC-93: a visitor can register a new account","dashboard","2026-07-19","passed","2026-07-19","Public — Sign up","","",""
"Confirming the delete dialog actually removes the row, verified via the DELETE response and a re-search. Uses its own throwaway seeded demo request (separate even from this file's main seeded row) so the delete doesn't disrupt the other tests.","4044","TC-98: admin can permanently delete a demo request","dashboard","2026-07-19","passed","2026-07-19","Admin — Demo Request Actions","","",""
"","2970","TC-12: Proceed to Onboarding navigates to restaurant setup","dashboard","2026-07-19","passed","2026-07-19","Admin — Demo Request Actions","","",""
"Typing a date/time into the masked MM/DD/YYYY hh:mm aa field and clicking Schedule Demo flips status to Scheduled and sets scheduledDemoAt.","5700","TC-11: admin can schedule a demo","dashboard","2026-07-19","passed","2026-07-19","Admin — Demo Request Actions","","",""
